#Table1
RA DEC zGAL mag_r mag_g mag_z R50_r
202.45918 31.421011 0.02470218 16.30079 16.90748 15.80086 3.357623
202.62845 31.358055 0.02481696 17.68159 17.93426 17.60253 2.968002
208.63923 34.568304 0.02614021 16.47595 17.19975 15.89157 1.884926
181.51104 33.021277 0.02362054 16.40953 17.12902 15.81739 2.518968
207.1706 34.876737 0.02612133 17.2898 17.75874 16.84434 1.45631
207.23182 34.816078 0.02569407 17.31966 17.75861 17.07077 2.798328
206.89743 34.812848 0.02561838 17.306 17.84425 16.97998 3.156623
201.40955 31.994081 0.02453889 16.65655 17.23445 16.10221 3.220576
205.68513 35.062912 0.02432473 14.90535 15.55009 14.35943 2.70559
202.01909 31.953797 0.02431416 21.37132 21.74899 20.89249 0.8601198
205.56969 35.112115 0.02420706 17.39283 17.94739 17.0999 2.573852
203.92522 35.088522 0.02386899 16.71738 17.43411 16.35308 3.724094
208.37509 30.763458 0.02613267 17.0216 17.42816 16.6207 3.404935
203.95096 34.997303 0.02499274 20.55102 20.74332 20.63633 0.7982227
203.58192 34.98296 0.02433866 16.7833 17.51943 16.16821 2.614478
203.2311 35.213237 0.02416337 17.16831 17.41009 17.06516 2.965822
182.90232 38.609997 0.02382749 17.19105 17.53834 16.89222 2.071529
187.74058 38.273762 0.02379529 17.19039 17.60695 16.86836 3.958252
183.17213 38.152102 0.02384394 15.94423 16.5008 15.39985 5.15019
185.59048 35.15457 0.02520451 14.76354 15.2915 14.21768 6.240758
194.87549 28.700143 0.02368247 17.09785 17.84978 16.41598 2.279196
195.93683 28.545914 0.02579949 16.16373 16.93079 15.55872 2.039429
195.93683 28.545914 0.02584034 16.16373 16.93079 15.55872 2.039429
196.2053 28.661184 0.02619494 16.34556 17.00998 15.83447 3.726804
196.2053 28.661184 0.02621857 16.34556 17.00998 15.83447 3.726804
196.32314 28.582735 0.02621189 17.16175 17.8513 16.78365 4.671638
194.85694 37.420609 0.02572232 17.60332 18.07792 17.22963 1.934364
183.46244 37.846401 0.02385457 15.99479 16.43997 15.64414 2.620848
196.51846 36.772766 0.02546311 16.75098 17.12303 16.76986 5.567912
182.88261 36.859422 0.02424048 17.59709 18.06105 17.89663 4.342309
195.35325 36.112712 0.02539888 16.25491 16.63006 16.0831 3.870903
194.88152 38.051931 0.02383935 17.57478 18.04543 17.29687 2.423303
186.17688 38.377561 0.02375529 14.65567 15.22023 14.09693 8.78521
200.01116 37.128514 0.0238436 17.66305 18.0573 17.40931 4.543883
190.32005 37.824141 0.02440137 16.05188 16.62041 15.54879 2.381224
206.38993 35.720492 0.02428862 17.65871 17.9762 17.32182 3.25192
185.59048 35.15457 0.0252055 14.76354 15.2915 14.21768 6.240758
200.16412 34.152012 0.02371619 17.35869 18.13186 16.7807 2.891381
198.22707 36.881908 0.02378171 17.65717 18.06061 17.3534 2.419241
195.1648 29.019421 0.02424585 13.73951 14.38204 13.1391 12.80099
195.17222 29.024202 0.02371979 21.73901 21.66132 21.94432 0.6270224
204.54481 35.604123 0.02538837 17.80476 18.01292 17.1452 4.187265
200.21375 36.151666 0.02523806 17.95092 18.23937 17.90905 1.535256
195.43072 29.044668 0.02372994 13.74234 14.42495 13.09623 9.645202
204.91789 35.023382 0.02505899 14.91651 15.62224 14.30864 6.907327
196.12215 28.987501 0.02406 17.76579 18.40109 17.65833 3.271807
196.16159 28.972686 0.02531674 16.57583 16.93494 16.3251 2.933044
196.16159 28.972686 0.02529235 16.57583 16.93494 16.3251 2.933044
202.33822 33.824439 0.02557628 15.81476 16.258 15.50579 6.458404
202.36941 33.834448 0.02475638 15.84203 16.26788 15.65524 6.661653
202.78178 33.895996 0.02434291 17.04012 17.68522 16.52135 1.920551
202.90459 33.740237 0.02419269 17.3824 17.61735 17.2093 2.978003
195.47563 36.228734 0.02533155 14.5602 15.35107 13.92871 2.193801
202.84823 32.524741 0.03452275 15.54053 16.01316 15.08862 5.260852
202.83393 32.585243 0.03631932 14.4705 15.28813 13.81967 4.953483
202.77456 32.624051 0.03670307 15.52831 16.36657 14.82231 3.955656
201.76279 32.649366 0.03562766 16.96307 17.8223 16.20735 3.569119
200.88119 32.87572 0.03613627 17.0748 17.83912 16.46979 1.439207
205.62947 30.250041 0.03627127 14.25551 15.12493 13.50993 4.493822
200.70782 32.882418 0.03618161 17.62614 18.01613 17.40086 3.69465
200.66831 32.889663 0.03589052 14.5075 15.16934 13.88485 7.845813
199.93944 32.875482 0.0369225 16.3169 16.94812 15.75016 2.914959
205.87957 30.303107 0.03501423 15.80814 16.59388 15.18029 1.953834
199.67591 32.918699 0.03585742 17.06214 17.90364 16.26282 1.266926
199.14679 33.050997 0.03652021 15.8875 16.66107 15.23565 5.221429
182.53392 33.909419 0.03603806 16.39712 17.18251 15.68646 1.540676
208.32718 33.049443 0.0355991 17.26754 17.81945 16.69484 4.409257
208.2588 31.81317 0.03586014 14.46367 15.28288 13.80884 4.765134
196.57398 35.513301 0.03482077 17.40894 17.64434 17.32113 3.699192
200.1485 31.569787 0.03490428 17.25185 17.6127 16.91233 1.957739
196.22633 35.685519 0.03465513 17.58177 17.90745 17.27144 2.682012
195.73997 35.665161 0.03677595 17.72467 17.71243 18.25416 4.164603
206.00936 30.699714 0.03534646 17.5348 18.02541 17.06241 2.80842
206.82284 30.491969 0.03493525 17.53575 17.86399 17.1347 4.820229
205.59579 34.011373 0.03505627 17.662 18.19086 17.22786 2.224997
195.95925 35.243919 0.03461725 17.7162 18.29017 17.09912 2.4128
181.8718 35.730711 0.03443407 16.33041 16.91019 15.9498 4.278076
204.85959 31.208018 0.03560965 13.9941 14.71705 13.41615 8.900744
180.85696 33.146163 0.03493041 17.70571 18.16048 17.19151 1.434817
197.64236 34.636239 0.03682946 14.19008 15.03842 13.78984 6.829216
197.44277 34.695299 0.03557692 17.36823 17.72244 17.21894 3.324391
197.1614 34.748275 0.03659678 17.33072 17.9511 16.9051 3.513901
196.6384 34.81533 0.03696592 14.89277 15.60665 14.21893 6.795444
196.01516 34.774694 0.03506422 16.89682 17.45996 16.46969 5.657139
183.97424 35.289164 0.03495092 17.46935 17.89301 17.06102 3.923313
203.24639 32.320445 0.03476148 14.69282 15.49054 14.02184 6.258262
202.8758 33.539862 0.03511724 14.56511 15.2052 14.09994 8.678796
202.37072 33.664397 0.03587983 15.01333 15.81883 14.3729 3.306439
202.30843 33.662855 0.03552676 17.3451 17.79014 17.10519 5.000206
205.35734 29.765063 0.03676549 17.34794 17.87168 17.0892 3.472003
200.22757 33.851342 0.03539646 16.54174 16.76957 16.29633 2.770709
197.71338 34.316507 0.03636217 15.99068 16.23011 22.27793 6.885637
204.9748 30.11284 0.03470125 15.89212 16.7113 15.20139 4.468696
204.97795 30.242315 0.03451618 17.79556 18.09026 17.52515 1.317898
205.55221 29.993912 0.03514121 16.88618 17.20029 16.66038 3.07243
205.55445 29.997846 0.03496318 19.83288 20.28787 19.70608 1.516398
206.09979 29.881202 0.03670165 14.77455 15.45258 14.26768 6.758252
207.36592 29.701578 0.03513843 16.75698 17.3926 16.26638 2.358147
196.09598 34.315023 0.03547215 17.42754 17.77882 17.00998 4.02192
182.85287 34.979335 0.0347538 15.61325 15.94464 15.23016 4.744244
182.65318 34.956576 0.03469318 14.97628 15.42289 14.6544 10.95869
203.26704 33.031741 0.03458654 17.32134 17.65408 17.00041 3.102962
202.11868 30.966073 0.03691203 17.15648 17.64509 16.87377 2.108989
200.06382 33.482851 0.03543664 17.54587 18.24514 17.14831 3.285069
200.00276 33.582274 0.03507928 16.73994 17.44735 16.16512 4.020548
199.8054 33.588215 0.03519356 14.93634 15.61993 14.27672 4.800241
206.18872 30.349924 0.035343 15.81853 16.63189 15.13634 3.53465
199.67127 33.641095 0.03556346 15.68215 16.48449 15.00478 1.996943
181.16897 32.649828 0.03521505 16.04525 16.58027 15.5943 4.392248
199.13649 31.822723 0.03591609 17.77089 17.80637 17.54743 2.236278
200.54088 31.651282 0.03656841 16.45944 16.85664 16.02327 3.06032
204.56076 31.15416 0.0356924 15.07227 15.86619 14.38962 2.391973
199.39414 33.645565 0.0361691 15.83434 16.3357 15.33564 1.943026
199.18612 33.60291 0.03651792 17.22354 17.51498 16.84551 3.184402
201.30243 32.053363 0.03694637 17.42036 17.84423 17.13393 3.733036
198.92342 33.761746 0.03449789 14.65138 15.47735 13.96278 4.950247
198.83514 33.704154 0.03509416 17.11466 17.56386 16.7327 3.248452
197.33077 33.892563 0.03680602 17.40858 17.75313 17.03371 3.085777
196.84394 33.994278 0.03486422 17.42902 18.17451 16.65661 2.915494
207.75908 31.829021 0.03605224 16.09834 16.86283 15.42831 2.788981
203.64135 32.589887 0.03664277 17.60194 18.09338 17.17055 3.405155
203.2398 32.605208 0.03576168 13.89508 14.7612 13.24312 6.299217
203.06311 32.71483 0.03695668 14.70693 15.52928 14.00837 3.788551
202.95174 32.703019 0.03564099 16.52689 17.09859 16.02896 3.519977
202.455 32.792038 0.03641741 16.49483 16.96626 16.11323 3.544838
202.08307 32.939889 0.03477537 16.75566 17.49284 16.13781 1.917754
201.69491 32.987822 0.03655314 15.40523 16.05244 14.82362 5.078198
201.12724 33.034241 0.03576924 16.64423 17.33818 16.1951 6.073387
200.57695 33.095705 0.03498781 15.70695 16.42805 15.13084 6.091849
200.32854 33.013552 0.03500431 17.45454 18.01126 17.2966 3.75818
204.78717 27.598042 0.03589215 15.61993 16.15484 14.94189 6.925405
204.80773 27.65365 0.03604942 15.38634 16.21276 14.67375 2.1838
200.17464 33.196463 0.03606497 17.46438 18.18356 17.2603 3.145206
200.10974 33.013624 0.03660825 16.78833 17.55008 16.14181 4.039618
195.5809 28.952674 0.03465652 15.6511 16.48636 14.93661 2.208778
200.07788 33.014473 0.03659934 16.23492 17.0364 15.55065 2.562638
200.09956 33.176811 0.03450099 15.39918 16.24789 14.67543 1.979836
200.20426 33.100379 0.03458467 14.64111 15.45453 13.96364 3.223468
199.95982 33.070596 0.03627113 17.68577 18.4058 17.19542 2.691262
200.06122 33.20491 0.035448 17.26118 17.97951 16.64123 1.996264
204.90634 27.909951 0.03671323 15.22245 16.05157 14.54602 3.609594
200.0338 33.177186 0.03652617 17.58367 18.35061 17.13393 2.397581
200.06137 33.143403 0.03605696 13.51053 14.26898 12.84177 12.216
199.86054 33.09138 0.03660414 17.79747 18.47689 17.32842 1.381418
199.19065 33.123189 0.03688991 17.44266 17.94394 17.04711 2.994801
198.14155 33.347431 0.03671521 17.69424 18.12315 17.34233 2.310665
205.33288 36.935223 0.03461342 14.36812 15.13886 13.76281 6.761306
203.26059 37.196072 0.03450016 16.94794 18.3669 28.32965 11.59567
208.37792 34.718963 0.03501213 16.05423 16.6029 15.52176 2.76408
205.82586 35.047047 0.03551994 16.05351 16.82432 15.47957 3.407168
203.1502 29.112775 0.03547146 16.84756 17.46873 16.28458 1.749653
205.81196 35.085265 0.03491027 14.52915 15.40924 13.73898 3.647978
208.80391 34.149104 0.03528972 17.66897 18.45112 17.0593 1.814795
208.76741 34.169572 0.03512893 15.52561 16.33146 14.88839 2.299014
206.44645 34.493237 0.03474734 16.46366 16.98465 16.07346 2.360124
195.24904 38.213858 0.03557891 17.83335 18.22098 17.4347 1.967876
194.71891 38.18654 0.03591444 16.99691 17.28768 17.14305 4.80495
186.93284 38.577454 0.03595407 16.23539 16.56635 16.00989 5.612844
195.90081 37.766758 0.03576475 15.6697 16.19285 15.23627 3.227902
192.56922 37.931235 0.03542879 17.59734 17.84356 17.23553 1.822405
192.58623 37.948941 0.03516813 15.42561 15.96946 14.8565 3.063136
195.00956 37.306602 0.0367448 16.85303 17.54856 16.20489 4.285025
194.73493 37.398179 0.03470336 14.667 15.4581 14.05274 5.263536
195.95861 36.943402 0.03541408 14.92629 15.63693 14.30172 7.6831
194.82403 37.048359 0.03530491 14.51402 15.28747 13.91112 6.259859
187.69396 36.979361 0.03477842 21.37708 21.40228 20.92863 0.763885
186.0893 15.358886 0.04462754 17.48907 17.85488 17.08802 1.345366
199.73212 14.345656 0.04475257 22.207 22.09744 22.57045 0.5834728
205.88193 13.426594 0.04640639 17.42845 18.19609 16.66678 1.778012
189.20633 14.526522 0.04620567 17.53515 18.02069 17.04845 2.346884
182.8099 14.40978 0.04529009 16.25126 16.7776 15.68272 2.974331
181.99437 14.361256 0.04504038 17.56376 17.75571 17.17476 3.157781
207.89527 34.04885 0.0453898 16.79675 17.40213 16.09102 4.216825
201.75385 15.267185 0.04446536 16.72687 17.07128 16.39693 3.836406
201.06798 14.6352 0.0447661 17.66151 18.07102 17.38733 1.785663
188.74726 15.81285 0.04569428 16.72565 17.47114 16.09635 1.773503
188.54295 15.968215 0.04608984 14.21086 14.83296 13.67926 8.995142
189.5673 15.569804 0.04614988 14.90301 15.76038 14.12944 4.946654
188.71723 14.97818 0.04620121 15.13814 15.76399 14.74466 7.683095
187.6756 15.04798 0.04505524 17.71924 18.34357 17.2594 1.711077
187.22783 15.017164 0.04502121 17.0327 17.47749 16.66752 2.824311
190.01864 14.683356 0.04603656 17.39044 18.18775 16.56684 1.808399
192.39499 13.802734 0.04641936 15.81509 16.13077 15.46244 3.643818
202.24599 41.718042 0.04449302 17.36686 17.54935 17.08274 2.093818
201.95925 40.079886 0.04621354 14.79139 15.65623 14.04021 4.630403
205.60525 38.688944 0.04607676 17.35491 17.78166 17.11615 3.769906
183.49347 40.198829 0.04627753 16.87314 17.22722 16.5238 2.374517
192.97796 39.419443 0.04491818 16.72378 17.20165 16.23807 4.123419
199.0467 37.980134 0.04475138 17.75923 18.13548 17.93439 4.079681
198.7126 38.037763 0.04439188 14.66206 15.44748 14.03486 7.437346
198.7592 38.085782 0.04465532 14.68408 15.52269 14.01619 3.560004
198.52042 42.094988 0.04592649 17.40797 17.97147 16.78508 2.20254
198.97271 42.699853 0.04535265 17.61262 18.04608 17.19071 1.5058
181.96228 42.571867 0.04538934 14.47394 15.29661 13.80459 4.678623
181.29966 41.359632 0.04496051 16.32164 16.842 15.92662 6.132504
190.82399 13.602274 0.04458825 16.81179 17.22859 16.36937 2.715066
188.62168 13.254669 0.04445959 17.73936 18.06698 17.40698 4.478678
202.49911 42.80863 0.04477677 21.77215 21.72529 22.35745 0.6777656
202.50175 42.807922 0.04526031 16.48779 17.1465 15.80808 4.943801
201.01049 43.065936 0.04458623 16.67831 17.13381 16.27646 2.890558
202.4122 42.589826 0.04574561 17.47601 17.8939 17.28555 3.823025
190.06501 13.426326 0.04616698 17.00278 18.2205 16.45281 1.446002
189.85264 13.391771 0.04595719 17.21267 17.59049 16.97043 3.109785
188.77794 15.48403 0.04622127 16.68664 17.58459 15.87767 2.190887
189.1833 14.645088 0.04618024 16.11774 16.5794 15.73364 3.367273
187.70751 14.634283 0.04501534 15.44511 16.08853 14.85328 4.714268
186.32859 14.763256 0.04448545 15.95916 16.51048 15.44077 5.173897
189.32159 14.279855 0.04630939 16.24463 16.45061 16.00445 2.890646
184.47783 19.023435 0.04501043 15.0084 15.84486 14.33072 2.797276
184.40582 19.014655 0.04464321 15.123 16.0056 14.45094 3.885081
181.36956 25.399217 0.04564836 16.8637 17.11133 16.52405 2.881744
203.92462 23.934187 0.04610519 15.15436 15.74673 14.6371 3.766074
199.13382 24.487732 0.04615596 17.13392 17.8014 16.57631 0.9538348
203.46564 22.005102 0.04504674 16.94147 17.67327 16.35285 2.443414
188.97882 22.551993 0.04583694 15.44522 16.25015 14.78588 4.427525
198.69836 21.107329 0.04588925 15.14275 15.73562 14.62703 3.962691
189.46774 21.365827 0.04545689 16.37736 16.9753 15.87665 7.010424
188.92761 21.333613 0.04437323 17.68943 18.05034 17.83247 4.014458
188.76658 21.98318 0.04553922 15.37887 16.24916 14.68576 1.884537
188.66673 22.031259 0.04581931 15.72486 16.27918 15.19646 2.697665
189.85839 21.559307 0.04568088 16.3725 16.85957 15.98473 5.877501
188.48874 21.560695 0.04534863 17.73126 18.18799 17.32458 3.799716
188.54125 21.540713 0.04552948 17.36726 17.73775 17.01532 2.199797
188.54617 21.542302 0.04545979 15.62697 16.39339 14.87 3.54352
188.54617 21.542302 0.04547384 15.62697 16.39339 14.87 3.54352
205.81123 17.939942 0.04527977 21.91427 21.87691 21.76622 0.497018
206.09736 17.747003 0.04512487 17.52783 17.98343 17.543 5.089839
201.04066 19.683789 0.04446942 16.22186 16.82811 15.68857 3.545363
185.3503 18.742692 0.04506264 16.32709 16.86386 15.72952 3.884786
197.38305 26.400823 0.0454764 17.47795 17.79928 17.21818 3.218392
182.64913 26.611821 0.04601601 17.63752 17.89165 17.39726 2.329382
201.87774 27.415848 0.04466308 17.38166 17.72651 17.05836 2.115974
200.07551 27.236706 0.04512203 17.2289 17.95866 16.60649 1.579185
200.07551 27.236706 0.04513755 17.2289 17.95866 16.60649 1.579185
199.98907 26.785867 0.04496533 16.21627 17.08143 15.41717 2.068194
199.97096 26.731921 0.04524092 16.20684 16.72092 15.70241 2.173578
191.21422 26.594548 0.0456633 15.6955 16.40646 15.14956 2.843641
192.9769 26.066905 0.0458363 16.39032 16.81198 16.10766 3.806895
192.9769 26.066905 0.04582365 16.39032 16.81198 16.10766 3.806895
190.82218 26.239168 0.04629057 16.92477 17.45888 16.49795 2.269885
183.63443 30.766059 0.04452377 16.08642 16.7367 15.36609 4.635451
182.65427 30.255359 0.04528273 16.49861 17.38918 15.68525 2.953636
183.5469 30.933949 0.04447854 17.53324 18.05086 16.79114 2.417905
186.94208 19.167153 0.04522834 16.67875 17.0678 16.31231 3.655178
205.74329 18.055317 0.04569282 17.73766 18.42535 17.07533 1.694176
205.84021 17.95244 0.04566224 15.47114 15.89363 15.05311 2.853966
184.98367 19.593111 0.04517675 17.52742 17.81062 17.42257 2.709043
186.53014 20.620125 0.0453737 15.91203 16.25578 15.55581 3.501786
200.7368 19.915732 0.04462438 17.55857 18.0267 17.20899 2.238532
207.54941 14.998898 0.04487406 17.83894 18.35055 17.21692 2.840537
204.75954 16.714798 0.0452474 17.13365 17.76831 16.38562 2.941493
205.02149 17.526782 0.04608984 17.36005 18.18886 16.64102 2.528153
205.91019 17.466414 0.04483671 17.09598 17.54381 16.48507 1.788343
185.44464 16.331407 0.04451741 15.18139 15.75624 14.6501 6.742456
186.70935 16.271742 0.04554346 14.99941 15.7048 14.39752 2.487031
186.75988 16.335397 0.0450105 17.06521 17.57494 16.81773 4.839341
186.64042 17.25159 0.04586818 16.83583 17.22161 16.51076 2.818372
187.10348 17.142374 0.04506629 16.78001 17.22643 16.58966 3.638884
187.17191 17.197265 0.04477464 17.77982 18.54796 17.10374 0.9742406
184.94505 17.565378 0.04455112 16.35374 16.79152 15.88724 4.595275
184.97504 17.560333 0.0444494 16.00426 16.8163 15.32966 1.625111
186.6027 17.644916 0.04546237 15.44423 16.2971 14.77264 3.057144
186.59876 17.653681 0.04487374 17.25404 17.97568 16.64444 1.824589
186.80873 17.574124 0.04534432 16.31888 16.84217 15.8755 2.641858
186.74074 18.039427 0.04498835 15.93284 16.60187 15.48607 5.372783
187.61615 17.982946 0.04461876 17.56363 18.10454 17.05536 1.441649
209.23906 31.258791 0.04558701 17.08409 17.89752 16.45356 1.49984
208.19591 31.461171 0.04450218 17.42077 18.12335 16.82126 1.534494
208.08226 31.483336 0.04483446 17.11879 17.40014 17.07108 5.329856
193.94071 17.749461 0.04562343 17.51013 18.17381 16.87174 1.965649
184.44677 18.424757 0.04473572 16.68042 17.13095 16.16558 2.127227
186.62786 16.633842 0.04488704 14.4333 15.28464 13.71258 4.900575
186.63699 16.53706 0.04543912 14.76788 15.51127 14.11276 5.143704
187.57876 16.642022 0.04573139 17.17978 17.93176 16.98736 5.181225
187.7756 16.55317 0.04541788 17.52006 17.82372 17.24228 2.260916
185.42121 17.05904 0.04478028 16.14794 16.56134 15.6902 4.863496
208.18052 31.842564 0.04561954 16.56376 16.9831 16.11936 2.288662
186.87858 16.877727 0.04507649 17.34333 17.76472 17.09018 3.628025
183.48903 17.460221 0.04438509 17.11815 17.60513 16.58575 1.592134
187.00651 17.296481 0.04528413 15.67436 16.21084 15.1161 4.481571
187.01768 17.30585 0.04520834 15.13546 15.65363 14.57484 6.326792
187.21602 17.372597 0.04483703 16.56417 16.86034 16.25883 3.611441
186.57821 17.779293 0.04473701 16.40396 16.98229 15.77711 2.345966
186.57898 17.724484 0.04479938 15.07644 15.9335 14.36344 2.519853
186.59225 17.719074 0.04490803 17.39051 17.9351 16.81515 3.487418
185.2915 18.680965 0.04508681 16.34348 16.72411 15.99775 1.671431
205.47582 17.143595 0.04486322 15.64521 16.28892 15.05736 2.365296
206.90169 17.567961 0.04472583 16.98948 17.24046 16.63792 1.28966
206.90462 17.567804 0.0449569 15.96707 16.71081 15.35015 3.952142
186.23764 16.686166 0.0454209 16.0439 16.60258 15.61738 4.294137
186.53248 16.743594 0.04525845 16.44526 17.00183 15.93834 3.232052
186.63629 16.844655 0.0450182 14.5695 15.30166 13.96352 7.109319
186.55149 16.770063 0.04505918 17.67502 18.30848 17.02344 3.093258
186.73488 16.80015 0.04466046 17.04505 17.45407 16.79844 3.736531
187.54372 16.764949 0.04577121 16.79567 17.2098 16.46349 5.34385
187.97643 16.730997 0.04497208 16.39701 17.20527 15.74361 2.008129
187.97963 16.721431 0.04574213 16.26667 17.11616 15.58392 1.366239
192.58898 16.603269 0.04562806 17.3727 17.70343 17.0554 2.217769
193.94691 42.099326 0.03801579 17.72434 18.03647 17.38147 1.568066
193.32344 42.084095 0.03771078 17.57883 17.86009 17.26942 3.553821
191.87162 42.239424 0.03944417 16.04503 16.44362 15.79414 4.810802
191.5103 42.20528 0.03897056 17.53964 18.17554 16.97154 1.365754
188.90414 42.340019 0.03896417 17.47421 17.80649 17.00903 1.97035
188.83763 42.33408 0.03882135 16.4922 16.98978 15.94034 4.676471
183.6546 42.332669 0.03792997 17.25072 17.67172 16.74368 3.988891
196.01961 41.534273 0.03709458 17.31641 17.63029 16.9141 2.365459
195.51804 41.528809 0.03753641 17.24352 17.31923 17.12829 3.209808
195.477 41.503001 0.03791638 16.32991 16.7112 15.94685 5.310372
192.2045 41.733181 0.03866431 19.85557 19.9094 19.64254 1.117143
191.97708 41.788449 0.03933508 16.5061 16.94991 15.98471 3.617857
191.8343 41.77755 0.03892765 17.00197 17.4122 16.58623 4.352374
187.00626 42.050725 0.03830423 17.8013 18.2892 17.24787 1.966277
187.06627 42.014041 0.03816304 14.99479 15.60482 14.39745 4.359871
185.09296 41.918529 0.03785985 15.76296 16.62307 15.04595 1.633657
185.07434 42.000766 0.03932798 16.37918 16.89696 16.03147 4.854706
184.87504 41.884125 0.03744348 17.39129 17.66619 17.32465 4.106033
184.87384 41.914057 0.03759387 16.91392 17.64548 16.31936 2.95727
209.39835 38.799425 0.03907444 15.66622 16.47068 14.93643 3.38199
195.1605 41.077924 0.0372634 17.94785 18.17735 17.78792 2.4116
193.02517 41.231152 0.03876664 17.73825 18.1258 17.24723 2.686016
190.6712 41.424314 0.03815096 17.60081 17.92021 17.32351 3.934438
188.44783 41.423122 0.03743828 15.16101 15.76463 14.64793 2.986494
186.19302 41.571618 0.03792629 17.49744 18.00825 16.97609 1.411241
184.20665 41.486828 0.03813764 17.62734 18.14306 17.1324 3.36944
197.72588 42.658371 0.03907506 18.54736 19.08098 18.04593 1.166796
197.29452 42.768141 0.03799172 16.8855 17.55414 16.3378 1.642642
197.26056 42.739272 0.03887151 16.4042 17.27424 15.62743 1.630775
197.26342 42.764515 0.03868077 17.18608 17.90442 16.52268 2.010711
197.13179 42.741521 0.03858062 17.5997 18.04005 17.10152 2.322361
196.25758 42.865622 0.03753788 17.11981 17.95993 16.23389 2.872787
196.18958 42.938439 0.03756012 15.49473 16.31296 14.80706 2.655776
195.95474 42.884024 0.03797771 16.11712 16.94149 15.44787 2.716086
196.15684 42.424723 0.03860417 15.50168 16.03903 14.95944 6.017249
184.93898 42.926581 0.03779529 16.99543 17.49545 16.395 3.55743
184.52165 43.086957 0.03792613 16.76941 17.11194 16.45463 1.690115
195.72481 42.15948 0.03785488 17.97434 18.07096 17.72463 1.783939
190.09752 42.490065 0.03888727 17.66013 18.09692 17.28314 1.644904
188.45012 42.509824 0.03832284 17.49087 17.68774 17.44877 2.692568
187.75137 42.526974 0.03853422 14.7951 15.40652 14.22607 6.369672
185.00796 42.616502 0.038184 15.51198 16.30107 14.83059 3.038722
183.0696 42.52346 0.03851764 15.97125 16.81169 15.29221 1.544149
182.24764 42.105964 0.03874507 17.30577 17.78498 16.9757 3.050162
182.20794 42.248701 0.03739724 13.85361 14.60761 13.19982 4.299844
192.26187 41.634959 0.03905147 16.6283 17.08877 16.31612 4.919951
185.11977 41.864476 0.03905443 17.28022 17.58867 17.01072 2.923664
185.11977 41.864476 0.03907949 17.28022 17.58867 17.01072 2.923664
184.96234 41.754639 0.03934376 16.40981 17.23273 15.6984 1.331198
184.8261 41.673323 0.03831193 17.75907 18.46088 17.16514 1.623758
187.0864 41.274352 0.03755429 15.38834 15.84107 14.99529 6.643605
187.0864 41.274352 0.03757397 15.38834 15.84107 14.99529 6.643605
185.37303 41.422523 0.03858623 17.48953 17.82863 17.00865 2.585069
184.49353 41.292923 0.03896623 14.54777 15.22814 13.97508 5.291173
183.78967 41.268966 0.03775249 16.49435 17.15948 15.91706 2.517273
183.71681 41.256411 0.03769787 17.21873 17.46237 16.69192 3.56411
181.44069 41.288104 0.03755436 17.18019 17.64058 16.79583 5.631095
208.50631 42.529184 0.03824923 17.6092 18.02633 17.39745 3.715533
204.75688 42.567589 0.0371135 16.00943 16.38437 15.63441 2.127036
197.36637 43.188095 0.03730864 16.94279 17.65876 16.52576 2.750015
196.6101 28.364895 0.03924947 17.49498 17.89242 17.2282 4.878695
208.00493 29.057844 0.03752631 14.43281 15.26991 13.71895 4.578916
205.28842 29.580086 0.03749502 15.15129 15.93303 14.48023 3.05563
205.21754 29.560723 0.0373342 17.36565 17.8513 17.06002 3.24502
199.46499 30.420936 0.03732814 16.73517 17.00827 16.41128 1.63222
196.6101 28.364895 0.03920573 17.49498 17.89242 17.2282 4.878695
205.99575 28.260458 0.03895229 17.07487 17.65871 16.55389 1.845949
206.11702 27.744183 0.03874722 16.76072 17.30931 16.26811 3.857356
200.62618 28.171463 0.03815841 16.61844 17.22756 15.98702 3.552091
200.61775 28.15555 0.03840416 15.52594 16.1325 14.93323 4.786827
199.57959 28.156646 0.03762715 16.20091 16.76301 15.67631 2.861583
203.64003 27.948745 0.03916493 14.7884 15.60579 14.16834 5.05059
201.97193 28.508199 0.03699426 13.71029 14.53072 13.04669 6.850329
202.05831 28.669267 0.03731626 15.12709 15.87095 14.52429 5.838104
186.73281 33.506247 0.03861604 17.62465 18.0372 17.31981 1.684606
202.00104 31.871243 0.03857403 15.2452 16.28576 14.38434 5.017976
202.01203 31.958799 0.0384172 14.49671 15.39105 13.82942 6.681951
201.91974 31.813069 0.03854864 16.59951 16.99317 16.14931 3.58543
186.51258 30.004695 0.03731079 16.86785 17.10807 16.6225 4.822796
198.65777 30.153809 0.03714262 17.72454 18.06264 17.50253 1.907585
198.65777 30.153809 0.03713529 17.72454 18.06264 17.50253 1.907585
199.20925 30.132413 0.0372416 15.82244 16.19705 15.63561 6.949557
203.38057 29.766836 0.0371405 16.12044 16.75776 15.6495 2.063255
204.09251 29.563081 0.03851299 16.75603 17.09502 16.38214 2.812516
204.87364 29.359489 0.03883694 16.65641 17.43818 16.1477 2.374994
205.25681 29.497656 0.03701982 17.42813 18.38562 16.83032 2.324566
208.33354 28.961494 0.0374811 17.59597 17.8132 17.16782 4.289211
201.24026 26.41802 0.0373963 15.95199 16.37614 15.64735 5.858387
201.53723 26.477168 0.03714861 15.20047 15.56207 14.79376 5.057245
202.14059 26.408496 0.03822671 16.85628 17.28089 16.62882 3.067378
