#Table1
RA DEC zGAL mag_r mag_g mag_z R50_r
182.36645 22.104635 0.02434893 15.43097 15.59393 15.21455 5.726058
180.96583 22.136776 0 17.65614 18.8599 16.93978 2.321561
209.31162 21.487128 0 16.34588 17.19531 15.67404 2.312561
202.44885 24.388393 0 18.56973 20.43301 17.50395 1.643032
191.54887 24.760656 0 18.28442 18.51572 18.2912 0.5287283
184.43612 24.810537 0 19.93102 20.75876 19.76587 0.5623153
184.33164 24.926475 0 17.60822 18.67109 16.89933 2.461767
204.20368 23.260866 0 20.35262 21.26577 19.92157 0.6195251
204.1613 23.33432 0 17.10813 17.53836 16.64743 2.878988
199.30556 23.787904 0 18.96539 19.12223 18.70748 0.524823
180.59753 24.361875 0 17.59457 18.86135 17.07014 3.558055
180.57119 24.425782 0 19.10545 20.89155 18.07228 1.084387
195.50057 27.782728 0.02374067 14.93568 15.46432 14.48972 2.547769
198.10069 27.174407 0 20.54034 21.87808 19.35218 1.072599
198.23409 26.855466 0 16.63843 16.90956 16.57499 0.5796505
193.31713 27.094439 0 13.65238 14.40509 13.06689 7.326592
189.7146 27.382606 0 19.21038 19.71577 18.66568 0.6858406
186.28542 13.450918 0.03909093 15.45933 16.08032 14.87234 3.92768
191.75247 13.343198 0.03858963 16.8955 17.24801 16.43164 4.528044
192.12551 13.324821 0.03884608 16.13423 16.52492 15.79465 5.217708
192.1761 13.274843 0.03855543 15.09001 15.87945 14.40087 3.969562
204.94314 43.069267 0.03777299 17.67435 18.12357 17.29004 5.092805
205.85548 42.90258 0.03919322 18.07877 18.41388 17.84308 1.916495
197.00992 43.191527 0.03758581 16.14004 16.94778 15.14791 2.656478
184.46427 41.442573 0.03760091 16.34707 17.09234 15.63888 3.140407
184.97446 41.845813 0.03777866 14.39197 15.20819 13.73696 7.13113
194.71173 41.805414 0.03829967 15.40723 16.1055 14.777 3.383964
182.11407 41.600165 0.03844858 17.80467 18.17049 17.62227 2.369753
187.14965 41.500985 0.03759031 17.76174 17.98238 17.49405 2.843462
192.17818 41.674541 0.03941251 17.28141 18.00637 16.65171 1.46824
192.19401 41.654507 0.03904516 14.39806 15.24285 13.66344 5.876358
192.23223 41.778986 0.03952217 15.72413 16.42975 15.04265 3.294345
194.45293 41.901761 0.0375242 15.17008 15.8321 14.54831 5.281065
194.49643 41.906696 0.03773316 15.18938 16.08412 14.42464 2.726778
181.11966 39.178792 0.03859014 17.09804 17.87017 16.45541 2.23311
181.27534 39.236476 0.0382687 16.25078 16.53883 16.13044 5.949264
182.86056 39.222711 0.0371319 17.59921 18.31496 17.01941 2.070816
182.88065 39.178269 0.03705183 16.31212 16.74936 15.94364 4.512324
186.90644 40.16095 0.03709397 24.80193 18.26818 22.82678 3.923809
186.85163 40.14981 0.03762485 17.57255 18.25824 16.9193 1.635787
195.13952 39.607034 0.03756937 17.45981 17.85726 17.45714 4.709443
195.49334 40.0168 0.03732952 15.90108 16.57247 15.29443 2.379886
208.84322 13.874561 0.03900629 16.76516 17.24649 17.01395 6.322307
208.24162 14.411474 0.03895539 17.63616 18.0238 17.527 2.631067
195.63139 38.478493 0.03711201 14.43269 15.29404 13.79635 3.996403
195.34525 39.815359 0.0374484 16.3176 17.09178 15.72738 2.538742
181.26501 39.469582 0.03850912 14.91904 15.8036 14.18134 2.287697
181.17502 39.497408 0.03762631 17.79529 18.52122 17.11123 2.421914
191.35786 36.233024 0.03700861 16.79704 17.32533 16.27799 2.675622
196.31391 35.721346 0.03700692 15.29578 15.78295 14.79377 3.978534
191.81341 36.332313 0.03897172 16.23932 16.6034 15.98649 4.996658
203.29263 32.685345 0.03906337 15.00331 15.68228 14.45014 7.256919
203.30428 32.656557 0.03886575 17.62275 17.81126 17.34881 3.928247
203.55839 32.702659 0.03764391 16.69516 17.23247 16.1975 4.251269
190.06163 34.687054 0.03950401 16.21123 16.7919 15.5885 3.664475
192.69882 35.101078 0.03869388 17.26556 17.83263 16.90732 3.376519
198.08467 35.124276 0.03825888 17.5741 18.12581 17.23211 3.290758
198.07431 35.009841 0.03832687 16.4374 16.83483 16.05123 3.449132
