ra,dec,cz
0.7504829,23.5119464,
1.2874173,23.4548348,
0.9171725,23.1872509,
0.6639068,23.9876652,
1.717141,23.5971023,
0.8954811,23.2625891,
0.7846295,23.4025126,
1.025795,23.11639,
0.9197239,23.219706,
0.9475252,22.9563793,
0.7271689,23.7005294,
0.6280081,23.8280824,
0.711070942965688,23.6851502653088,
1.1082251,23.5992545,
1.49859650391769,22.6689296446182,
