ID	VCC	Other	A_r	b/a	phi	g_A	R_50	&lt;mu&gt;^A_e	g	R_e	&lt;mu&gt;_e	R_90	c	Type	Notes	
			(arcsec)		(deg)	(mag)	(arcsec)	(^a)	(mag)	(arcsec)	(^a)	(arcsec)				
(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	
38	1630	N4551	60	0.73	71	12.530 +or- 0.022	12.6 +or- 0.3	20.02 +or- 0.06	12.468	13.6	20.132	37	2.96	E		
39	1146	N4458	83	0.92	177	12.615 +or- 0.023	16.6 +or- 0.5	20.72 +or- 0.07	12.523	18.9	20.904	52	3.12	E		
40	1025	N4434	53	0.93	25	12.666 +or- 0.023	10.3 +or- 0.4	19.72 +or- 0.08	12.532	12.6	20.025	34	3.27	E:		
41	1303	N4483	56	0.59	64	12.788 +or- 0.025	12.1 +or- 0.3	20.19 +or- 0.06	12.754	12.5	20.232	32	2.69	S0:		
42	1913	N4623	72	0.32	175	12.825 +or- 0.025	14.5 +or- 0.4	20.63 +or- 0.06	12.774	15.4	20.709	42	2.87	E:		
43	1327	N4486A	17	0.83	9	12.710 +or- 0.024	3.8 +or- 0.1	17.63 +or- 0.08	12.619	4.4	17.816	12	3.11	E	bright star 2&farcs;5 away	
44	1125	N4452	51	0.31	34	12.533 +or- 0.022	12.9 +or- 0.3	20.07 +or- 0.05	12.507	13.1	20.097	33	2.55	S0		
45	1475	N4515	51	0.85	163	13.053 +or- 0.028	9.2 +or- 0.3	19.87 +or- 0.09	12.869	12.3	20.317	31	3.40	E:		
46	1178	N4464	29	0.82	2	13.148 +or- 0.029	5.9 +or- 0.2	19.02 +or- 0.09	13.031	7.1	19.271	19	3.21	E		
47	1283	N4479	79	0.70	16	13.055 +or- 0.028	17.4 +or- 0.6	21.25 +or- 0.08	12.994	18.8	21.363	51	2.95	S0	bar-like structure	
48	1261	N4482	81	0.56	135	13.360 +or- 0.032	18.0 +or- 0.6	21.63 +or- 0.08	13.321	18.8	21.683	49	2.75	D:		
49	698	N4352	67	0.39	100	13.086 +or- 0.029	13.9 +or- 0.5	20.80 +or- 0.09	13.020	15.1	20.917	41	2.98	S0:		
50	1422	I3468	100	0.87	146	13.514 +or- 0.035	20.4 +or- 0.8	22.06 +or- 0.09	13.467	21.6	22.136	58	2.84	E		
51	2048	I3773	65	0.46	19	13.740 +or- 0.039	13.1 +or- 0.6	21.32 +or- 0.11	13.673	14.3	21.447	39	2.98	D:		
52	1871	I3653	30	0.90	29	14.163 +or- 0.047	6.7 +or- 0.3	20.27 +or- 0.12	14.121	7.0	20.333	19	2.77	E		
53	9	I3019	160	0.82	120	13.607 +or- 0.038	34.8 +or- 1.3	23.31 +or- 0.09	13.585	35.5	23.331	87	2.49	D:		
54	575	N4318	26	0.72	66	13.790 +or- 0.039	5.8 +or- 0.2	19.61 +or- 0.09	13.756	6.0	19.653	16	2.69	E:		
55	1910	I809	54	0.88	144	14.165 +or- 0.047	11.7 +or- 0.6	21.50 +or- 0.12	14.144	11.9	21.511	29	2.47	D:		
56	1049	U7580	42	0.78	43	14.801 +or- 0.063	8.3 +or- 0.5	21.40 +or- 0.15	14.770	8.6	21.431	22	2.64	S0:	companion 20" away	
57	856	I3328	71	0.93	82	14.069 +or- 0.045	16.2 +or- 0.8	22.12 +or- 0.11	14.026	17.1	22.181	45	2.80	D:		
58	140	I3065	43	0.74	179	14.080 +or- 0.045	9.2 +or- 0.4	20.90 +or- 0.11	14.056	9.4	20.924	24	2.54	S0:		
59	1355	I3442	160	0.72	35	14.146 +or- 0.049	32.9 +or- 1.9	23.73 +or- 0.13	14.085	35.6	23.836	97	2.94	D:		
60	1087	I3381	110	0.66	103	13.625 +or- 0.037	23.4 +or- 1.1	22.47 +or- 0.10	13.523	27.1	22.681	74	3.16	D	bright star 2&farcm;2 away^b	
61	1297	N4486B	12	0.93	97	13.954 +or- 0.021	2.7 +or- 0.1	18.10 +or- 0.06	13.913	2.8	18.164	8	2.78	E	close to M87	
62	1861	I3652	90	0.95	90	13.970 +or- 0.043	19.2 +or- 1.0	22.39 +or- 0.12	13.935	20.0	22.433	52	2.71	D:		
63	543	U7436	84	0.56	118	14.109 +or- 0.046	17.4 +or- 0.9	22.31 +or- 0.12	14.071	18.2	22.364	48	2.74	D:		
64	1431	I3470	43	0.98	1	14.268 +or- 0.049	9.9 +or- 0.4	21.25 +or- 0.11	14.241	10.2	21.276	26	2.60	D:		
65	1528	I3501	47	0.91	97	14.389 +or- 0.052	9.8 +or- 0.6	21.35 +or- 0.14	14.346	10.3	21.411	28	2.79	D:		
66	1695	I3586	140	0.80	61	14.090 +or- 0.046	25.3 +or- 1.5	23.10 +or- 0.14	14.041	26.9	23.183	72	2.85	D:	large-scale envelope/disk	
67	1833		35	0.82	180	14.436 +or- 0.053	7.6 +or- 0.4	20.84 +or- 0.14	14.387	8.1	20.916	22	2.85	S0:		
68	437	U7399A	110	0.68	78	13.820 +or- 0.040	23.6 +or- 1.1	22.68 +or- 0.11	13.778	24.8	22.746	66	2.79	D:		
69	2019	I3735	88	0.72	159	14.244 +or- 0.049	16.9 +or- 0.9	22.38 +or- 0.13	14.206	17.6	22.430	46	2.74	D:		
70	33	I3032	44	0.90	16	14.957 +or- 0.068	9.4 +or- 0.6	21.82 +or- 0.15	14.931	9.6	21.844	24	2.58	D:		
71	200		67	0.98	50	14.681 +or- 0.060	13.5 +or- 0.9	22.33 +or- 0.16	14.628	14.4	22.416	39	2.88	D:		
