41.170833	-0.266944	0.89
134.0125	31.473056	0.18
138.670833	28.51	2.46
151.608333	28.871944	0.63
184.066667	32.8825	0.31
189.3875	20.745	0.63
193.316667	27.6875	3.27
195.5875	28.955	6.2
196.241667	27.714722	3.76
195.104167	27.873611	NaN
195.1125	27.865556	1.64
195.120833	27.459722	3.41
185.516667	28.243333	0.49
186.345833	27.149444	2.44
186.383333	28.484167	0.34
186.516667	24.300556	4.53
187.683333	27.553056	3.12
190.445833	27.564722	3.67
192.041667	26.210278	2.68
193.958333	19.211667	0.85
193.995833	27.46	3.11
195.5	27.836389	5.02
195.704167	21.998056	0.32
196.591667	27.994722	1.28
198.104167	31.388889	2.99
198.954167	31.313056	5.68
194.0125	27.505	2.66
194.0375	27.505	NaN
194.066667	27.555556	NaN
194.154167	27.585278	2.29
194.770833	28.239444	1.38
194.775	28.252222	1.61
194.825	27.754167	1.78
194.883333	27.790833	2.71
194.908333	27.7175	1.88
194.9125	27.804167	1.37
194.991667	27.803611	2.09
195.016667	27.805556	0.93
195.0375	27.8925	1.99
195.075	27.828056	2.14
195.054167	27.806667	2.17
195.129167	27.805833	1.89
195.183333	27.476389	NaN
195.283333	27.159722	1.4
