     	 1.68	 0.61	25.1
     	 0.93	 0.77	24.2
     	 1.39	 0.83	25.2
     	 3.50	 0.73	26.3
     	 1.65	 1.10	26.1
     	 1.19	 0.98	24.1
     	 1.94	 1.30	25.2
     	 2.46	 0.82	24.9
     	 1.12	 0.97	23.9
     	 0.90	 0.72	25.4
     	 3.69	 0.74	24.2
     	 1.12	 0.78	23.7
     	 3.60	 0.95	23.9
     	 2.86	 0.76	24.8
     	 1.35	 0.95	24.5
     	 2.57	 1.42	23.3
     	 1.33	 0.47	25.5
     	 1.22	 1.14	23.7
     	 1.22	 1.21	25.6
     	     	     	    
     	 0.73	 0.55	25.0
     	 2.60	 1.73	24.7
     	 1.15	 0.46	25.4
     	 1.73	 0.71	24.8
     	 1.33	 0.66	24.7
     	     	     	    
     	     	     	    
     	 2.08	 0.57	24.8
     	 1.04	 0.62	26.2
21.84	 1.76	 0.87	25.3
     	 1.60	 1.63	25.0
     	 1.62	 1.07	24.6
     	 1.70	 0.69	24.0
     	 1.95	 1.16	24.5
     	 1.18	 0.72	24.2
     	 1.09	 0.69	23.8
     	 2.55	 0.70	25.3
     	 2.04	 1.12	25.2
     	 1.65	 0.84	24.2
     	 0.86	 0.59	25.4
     	 1.03	 0.61	25.5
22.44	 0.91	 0.67	25.2
     	 2.33	 0.65	25.9
     	 1.15	 0.51	25.4
     	 2.15	 1.13	23.6
     	 1.16	 0.65	24.8
     	 1.04	 0.61	24.2
     	 2.05	 0.69	24.5
     	 1.49	 1.16	22.9
     	 1.14	 0.62	24.8
     	 1.34	 0.94	23.3
     	 0.69	 0.61	25.5
     	 2.75	 0.73	24.3
     	 1.86	 0.95	24.1
     	 1.72	 0.99	23.6
     	 0.94	 0.72	24.9
     	 1.94	 0.98	23.5
     	 1.46	 0.66	25.4
     	 1.14	 1.10	24.6
     	 1.35	 0.61	26.3
     	 0.92	 0.89	25.5
     	 1.11	 0.94	23.6
     	 0.86	 0.62	25.8
     	 1.75	 1.81	23.0
     	     	     	    
     	 2.34	 0.66	26.5
     	 1.35	 0.64	23.9
     	 1.87	 0.90	25.6
     	 1.35	 0.96	24.9
     	 0.86	 0.67	25.0
     	 1.46	 0.62	26.3
     	 1.42	 0.80	25.1
     	 2.48	 1.22	23.1
     	 1.77	 0.84	23.9
     	 1.20	 0.86	23.8
     	 1.08	 0.74	23.8
     	 1.39	 0.89	23.6
     	 1.92	 1.62	23.8
     	 1.01	 0.72	25.8
     	 1.23	 1.01	24.9
     	 1.95	 0.60	24.9
     	     	     	    
     	 2.05	 0.80	26.2
     	 1.72	 2.37	23.6
21.74	 0.94	 0.95	24.1
21.58	     	     	    
20.84	 1.35	 1.12	23.2
21.66	     	     	    
20.87	 1.10	 0.85	23.9
20.19	 2.02	 0.68	24.4
22.54	 1.58	 0.74	25.8
     	 2.54	 1.42	23.1
19.19	 3.92	 1.07	23.6
22.23	 3.02	 1.72	25.1
22.04	 1.17	 0.94	24.8
     	 1.37	 1.41	23.2
     	 1.34	 0.71	25.4
20.08	 2.94	 1.40	23.8
21.71	 2.09	 0.81	25.6
22.06	 1.01	 0.98	25.1
     	 2.04	 1.51	23.1
22.11	 0.89	 0.92	24.9
     	 1.40	 0.87	25.4
21.16	 1.05	 0.98	24.4
22.95	 1.22	 1.04	25.6
19.96	 2.09	 1.37	23.1
22.88	 1.99	 1.67	25.3
23.34	 0.81	 0.64	26.1
     	 1.12	 0.57	24.7
21.62	 1.53	 0.78	25.5
20.84	     	     	    
20.43	 1.53	 1.49	23.3
23.14	 0.84	 0.50	26.3
20.49	 1.52	 1.08	23.5
22.49	 1.16	 0.51	26.4
     	     	     	    
21.35	 1.21	 0.67	24.3
22.47	 0.88	 0.48	25.7
     	 1.59	 1.34	23.2
19.94	 1.65	 0.80	23.7
20.23	 1.67	 0.65	23.9
20.95	     	     	    
     	     	     	    
     	 0.90	 0.75	24.7
