Filename_corr,RA_corr,dec_corr,Rearcsec,AR,n,mu_0_g,mu_0_z,mag_g,tau,WISE,classALL
SMDG0044590+013819,11.2457,1.63858,8.21,0.672,1.223,22.863,22.212,18.238,0.0217,-0.10413,3
SMDG0127047-011656,21.76942,-1.28214,5.56,0.456,1.132,22.961,22.276,19.444,0.02776,0.06481,3
SMDG0124473-010219,21.19718,-1.03858,4.82,0.862,0.892,23.942,22.902,19.637,0.0228,0.046,3
SMDG0130020+004410,22.50854,0.73601,9.47,0.387,1.242,22.696,22.317,18.394,0.02451,0.02848,3
SMDG0044086-024506,11.03588,-2.75177,7.12,0.907,0.628,23.828,23.29,18.209,0.02433,-0.00273,3
SMDG0104082-003054,16.03419,-0.51505,5.48,0.6,0.976,23.472,22.463,19.421,0.03306,0.04456,3
SMDG0039334+010653,9.88916,1.11461,6.13,0.611,0.902,23.408,22.747,18.971,0.01866,0.0014,3
SMDG0134328+004019,23.6365,0.67207,6.13,0.534,0.798,23.922,23.176,19.463,0.02848,0.04748,3
SMDG0124489-012032,21.20357,-1.3421,10.65,0.897,1.843,23.306,22.096,18.944,0.03013,0.08063,3
SMDG0051193-020251,12.8303,-2.04755,9.51,0.943,0.885,23.255,22.565,17.365,0.03121,0.04122,3
SMDG0115342+000741,18.89265,0.12806,7.53,0.822,1.711,23.63,22.329,19.866,0.02179,0.03696,3
SMDG0039301+031047,9.87527,3.17978,6.73,0.837,1.149,23.599,22.43,19.037,0.03538,-0.02366,3
SMDG0125377+014109,21.40708,1.68582,6.65,0.906,1.549,22.777,21.698,18.876,0.02445,0.05932,3
SMDG0128132+020830,22.05489,2.14177,13.05,0.781,2.22,22.197,21.143,18.267,0.02488,0.04366,3
SMDG0126239+015719,21.59964,1.95533,6.37,0.709,1.181,23.475,22.888,19.269,0.03537,0.05632,3
SMDG0117328-011437,19.38674,-1.24349,8.92,0.719,1.091,23.766,23.13,18.657,0.02904,0.06421,3
SMDG0035062+020913,8.77584,2.15358,9.47,0.846,1.308,22.701,21.937,17.668,0.02604,0.03029,3
SMDG0110398+021115,17.66564,2.18756,10.48,0.893,0.823,23.754,22.906,17.612,0.03655,0.06115,3
SMDG0128405+013719,22.1687,1.62208,6.09,0.437,1.233,23.077,22.442,19.586,0.02522,0.04254,3
SMDG0127220-014814,21.84154,-1.80375,5.7,0.872,0.913,23.988,22.872,19.341,0.0192,0.06044,3
SMDG0125563+021025,21.48453,2.17367,5.64,0.747,1.023,23.245,22.149,18.973,0.02586,0.05351,3
SMDG0151136+013636,27.80682,1.60986,6.73,0.949,1.418,23.024,22.285,18.806,0.01714,0.02579,3
SMDG0230390+013120,37.66253,1.52235,5.68,0.606,0.842,23.922,22.984,19.562,0.01911,0.02418,3
SMDG0138479+020120,24.69976,2.02225,4.98,0.422,0.894,23.168,22.65,19.571,0.0224,0.04247,3
SMDG0206426-000906,31.67768,-0.15156,5.84,0.484,0.828,23.282,22.515,19.083,0.02018,0.03135,3
SMDG0223190-011512,35.82913,-1.25323,14.44,0.881,1.132,23.91,23.23,17.605,0.02488,0.05366,3
SMDG0237148+015250,39.31165,1.88065,6.01,0.769,1.129,23.484,22.512,19.225,0.02094,0.02377,3
SMDG0231129+001110,37.80374,0.18618,6.39,0.735,0.774,23.437,22.608,18.503,0.01368,0.03555,3
SMDG0153477-024858,28.44876,-2.816,5.99,0.77,1.316,23.374,22.891,19.452,0.01291,0.02922,3
SMDG0157112-021046,29.29664,-2.17942,6.45,0.76,1.312,23.007,22.189,18.931,0.01507,0.02099,3
SMDG0154229+012914,28.59547,1.48734,5.17,0.815,0.648,23.921,23.409,19.143,0.02459,0.03674,3
SMDG0243388+001124,40.91161,0.18991,6.13,0.539,0.909,23.221,22.441,18.932,0.03064,0.03471,3
SMDG0212068+011232,33.02822,1.20896,9.13,0.677,1.208,23.029,22.225,18.139,0.01926,0.04277,3
SMDG0230232-002629,37.59686,-0.44133,5.82,0.886,0.711,23.685,22.799,18.653,0.01987,0.04431,3
SMDG0245198-000206,41.33248,-0.03499,11.36,0.633,1.108,23.6,22.883,18.133,0.0265,0.01527,3
SMDG0206304+013023,31.62684,1.50637,6.42,0.707,0.535,23.946,22.968,18.691,0.0234,0.03925,3
SMDG0210292+000548,32.62153,0.0966,8.02,0.463,1.719,22.575,22.125,19.313,0.01703,0.04344,3
SMDG0232382-010203,38.15929,-1.03414,7.29,0.628,0.97,23.482,22.558,18.752,0.01877,0.03989,3
SMDG0245332-024408,41.38829,-2.73554,5.54,0.565,0.9,23.542,22.854,19.406,0.02374,0.01727,3
SMDG0158103-001327,29.54297,-0.22406,6.0,0.502,0.792,23.868,23.12,19.513,0.02598,0.02222,3
SMDG0240124+021356,40.05176,2.23213,6.0,0.649,0.592,23.746,23.055,18.81,0.02429,0.00822,3
SMDG0156504+005734,29.21004,0.95939,6.46,0.84,1.391,23.212,22.447,19.167,0.01684,0.03127,3
SMDG0146441+000001,26.68367,0.00038,6.36,0.612,1.147,23.102,22.155,19.0,0.02532,0.04812,3
SMDG0231170+004334,37.82083,0.72609,5.44,0.45,0.997,23.26,22.385,19.573,0.01684,0.03123,3
SMDG0241314+020313,40.38092,2.05372,5.17,0.847,0.873,23.787,22.894,19.318,0.02709,0.03647,3
SMDG0210468+014634,32.69503,1.77623,13.21,0.861,1.229,23.534,22.936,17.618,0.01925,0.04614,3
SMDG0207397+022335,31.91552,2.39315,17.47,0.911,1.276,23.053,22.192,16.552,0.02228,0.04427,3
SMDG0309489-020104,47.45393,-2.01783,9.4,0.651,1.499,22.669,21.918,18.283,0.04492,0.07874,3
SMDG0153153-015554,28.31395,-1.93167,6.48,0.599,0.777,23.778,23.186,19.041,0.01292,0.03481,3
SMDG0202162-015627,30.56762,-1.94077,5.15,0.776,0.906,23.307,22.5,18.995,0.01002,0.03844,3
SMDG0244535-020353,41.22278,-2.06463,5.46,0.833,0.941,23.745,23.252,19.287,0.02696,0.00986,3
SMDG0239254+015242,39.85601,1.87823,5.08,0.498,0.713,23.645,22.912,19.537,0.02349,0.00623,3
SMDG0232318+000326,38.13268,0.05722,8.04,0.665,0.845,23.539,22.939,18.328,0.02094,0.05043,3
SMDG0238268+021118,39.61179,2.18841,6.7,0.49,1.049,23.441,22.402,19.297,0.02267,-0.00416,3
SMDG0249185-013418,42.32712,-1.5717,6.68,0.77,0.986,23.649,22.662,18.914,0.04298,0.05703,3
SMDG0228349+013959,37.14535,1.66627,5.08,0.708,0.879,23.373,22.657,19.146,0.02583,0.03107,3
SMDG0150351-003727,27.64614,-0.62425,7.46,0.47,1.221,22.676,21.928,18.644,0.02019,0.04084,3
SMDG0213241+004742,33.35058,0.7951,4.9,0.831,0.892,23.442,22.607,19.141,0.02134,0.03592,3
SMDG0206137+003511,31.55691,0.58625,7.07,0.635,1.318,22.927,22.251,18.858,0.01873,0.04339,3
SMDG0245324-020137,41.38489,-2.02688,7.38,0.794,0.759,23.531,22.677,18.177,0.02684,-0.0028,3
SMDG0224347-003658,36.14457,-0.61597,7.57,0.836,1.069,22.921,22.049,17.967,0.02371,0.05459,3
